datetime,temperature_C
2023-10-16T10:28:00Z,52.2
2023-10-16T10:38:00Z,54.5
2023-10-16T10:44:00Z,55.5
2023-10-16T10:52:00Z,55
2023-10-16T10:56:00Z,55
2023-10-16T10:58:00Z,53.5
2023-10-16T11:02:00Z,53.6
2023-10-16T11:12:00Z,56.9
2023-10-16T11:18:00Z,55.2
2023-10-16T11:28:00Z,56.2
2023-10-16T11:32:00Z,57.2
2023-10-16T11:38:00Z,58.5
2023-10-16T11:42:00Z,60
2023-10-16T11:54:00Z,59
2023-10-16T11:58:00Z,57.5
2023-10-16T12:02:00Z,59
2023-10-16T12:08:00Z,57.4
2023-10-16T12:12:00Z,56.2
2023-10-16T12:18:00Z,55.8
2023-10-16T12:22:00Z,55.6
2023-10-16T12:28:00Z,56.9
2023-10-16T12:32:00Z,58.9
2023-10-16T12:48:00Z,58.7
2023-10-16T12:52:00Z,57.7
2023-10-16T12:58:00Z,56.8
2023-10-16T13:02:00Z,56.6
2023-10-16T13:08:00Z,56.9
2023-10-16T13:22:00Z,55.5
2023-10-16T13:28:00Z,55.2
2023-10-16T13:32:00Z,55.8
2023-10-16T13:38:00Z,54.4
2023-10-16T13:42:00Z,53.5
2023-10-16T13:48:00Z,53.9
2023-10-16T13:52:00Z,52.2
2023-10-16T13:58:00Z,52.5
2023-10-16T14:02:00Z,51.5
2023-10-16T14:08:00Z,51.8
2023-10-16T14:12:00Z,50.5
2023-10-16T14:18:00Z,49.6
2023-10-16T14:22:00Z,49.5
2023-10-16T14:28:00Z,50
2023-10-16T14:32:00Z,48.5
2023-10-16T14:38:00Z,47.5
2023-10-16T14:42:00Z,46.4
2023-10-16T14:48:00Z,45.2
2023-10-16T14:52:00Z,44.2
2023-10-16T14:58:00Z,44.3
2023-10-16T15:02:00Z,44.8
2023-10-16T15:08:00Z,43.5
2023-10-16T15:12:00Z,43.8
2023-10-16T15:18:00Z,42.5
2023-10-16T15:22:00Z,42.8
2023-10-16T15:28:00Z,41.5
2023-10-16T15:32:00Z,41.8
2023-10-16T15:38:00Z,40.5
2023-10-16T15:42:00Z,39.5
2023-10-16T15:48:00Z,39.9
2023-10-16T15:52:00Z,38.1
2023-10-16T15:56:00Z,38.7
2023-10-16T16:02:00Z,37.2
2023-10-16T16:06:00Z,37.8
2023-10-16T16:12:00Z,38
2023-10-16T16:16:00Z,36.1
2023-10-16T16:22:00Z,36.6
2023-10-16T16:26:00Z,35.3
2023-10-16T16:32:00Z,34.1
2023-10-16T16:36:00Z,34.5
2023-10-16T16:42:00Z,33.3
2023-10-16T16:46:00Z,34
2023-10-16T16:52:00Z,32.9
2023-10-16T16:58:00Z,31.7
2023-10-16T17:02:00Z,30.4
2023-10-16T17:06:00Z,31
2023-10-16T17:12:00Z,29.3
2023-10-16T17:16:00Z,29.5
2023-10-16T17:18:00Z,-10
2023-10-17T04:54:00Z,-10
2023-10-17T05:04:00Z,21.1
2023-10-17T05:08:00Z,23
2023-10-17T05:14:00Z,22.9
2023-10-17T05:18:00Z,22.7
2023-10-17T05:24:00Z,22.5
2023-10-17T05:28:00Z,22.4
2023-10-17T05:34:00Z,22.1
2023-10-17T05:38:00Z,24
2023-10-17T05:44:00Z,23.7
2023-10-17T05:48:00Z,23.6
2023-10-17T05:54:00Z,23.3
2023-10-17T05:58:00Z,25
2023-10-17T06:04:00Z,24.8
2023-10-17T06:08:00Z,24.6
2023-10-17T06:14:00Z,24.3
2023-10-17T06:18:00Z,26
2023-10-17T06:24:00Z,25.5
2023-10-17T06:28:00Z,26.8
2023-10-17T06:34:00Z,26.4
2023-10-17T06:38:00Z,26.2
2023-10-17T06:44:00Z,28
2023-10-17T06:48:00Z,27.6
2023-10-17T06:54:00Z,28.5
2023-10-17T06:58:00Z,29.2
2023-10-17T07:04:00Z,30.1
2023-10-17T07:08:00Z,30.9
2023-10-17T07:14:00Z,32.5
2023-10-17T07:16:00Z,32.5
2023-10-17T07:20:00Z,33.4
2023-10-17T07:28:00Z,35.1
2023-10-17T07:34:00Z,36.3
2023-10-17T07:38:00Z,38
2023-10-17T07:44:00Z,38.9
2023-10-17T07:48:00Z,39.7
2023-10-17T07:54:00Z,41
2023-10-17T07:58:00Z,40.9
2023-10-17T08:04:00Z,41.9
2023-10-17T08:08:00Z,43
2023-10-17T08:14:00Z,41.6
2023-10-17T08:18:00Z,40.7
2023-10-17T08:28:00Z,40.6
2023-10-17T08:34:00Z,39.2
2023-10-17T08:38:00Z,40.5
2023-10-17T08:48:00Z,43.5
