datetime,W
2023-10-16T12:38:00Z,1705
2023-10-16T12:42:00Z,1678
2023-10-16T12:48:00Z,1658
2023-10-16T12:52:00Z,1579
2023-10-16T12:58:00Z,1571
2023-10-16T13:02:00Z,1623
2023-10-16T13:08:00Z,1596
2023-10-16T13:12:00Z,1570
2023-10-16T13:18:00Z,1549
2023-10-16T13:22:00Z,1527
2023-10-16T13:28:00Z,1508
2023-10-16T13:32:00Z,1486
2023-10-16T13:38:00Z,1467
2023-10-16T13:42:00Z,1453
2023-10-16T13:48:00Z,1433
2023-10-16T13:52:00Z,1403
2023-10-16T13:58:00Z,1372
2023-10-16T14:02:00Z,1348
2023-10-16T14:08:00Z,1293
2023-10-16T14:12:00Z,1230
2023-10-16T14:18:00Z,1188
2023-10-16T14:22:00Z,1147
2023-10-16T14:28:00Z,1108
2023-10-16T14:32:00Z,1117
2023-10-16T14:38:00Z,1132
2023-10-16T14:42:00Z,1023
2023-10-16T14:48:00Z,989
2023-10-16T14:52:00Z,1029
2023-10-16T14:58:00Z,985
2023-10-16T15:02:00Z,886
2023-10-16T15:08:00Z,797
2023-10-16T15:12:00Z,811
2023-10-16T15:18:00Z,812
2023-10-16T15:22:00Z,777
2023-10-16T15:28:00Z,753
2023-10-16T15:32:00Z,708
2023-10-16T15:38:00Z,664
2023-10-16T15:42:00Z,634
2023-10-16T15:48:00Z,594
2023-10-16T15:52:00Z,550
2023-10-16T15:56:00Z,505
2023-10-16T16:02:00Z,450
2023-10-16T16:06:00Z,397
2023-10-16T16:12:00Z,363
2023-10-16T16:16:00Z,332
2023-10-16T16:22:00Z,298
2023-10-16T16:26:00Z,259
2023-10-16T16:32:00Z,214
2023-10-16T16:36:00Z,169
2023-10-16T16:42:00Z,123
2023-10-16T16:46:00Z,82
2023-10-16T16:52:00Z,54
2023-10-16T16:58:00Z,37
2023-10-16T17:02:00Z,28
2023-10-16T17:06:00Z,17
2023-10-16T17:12:00Z,8
2023-10-16T17:16:00Z,6
2023-10-16T17:18:00Z,0
2023-10-17T04:54:00Z,0
2023-10-17T05:08:00Z,4
2023-10-17T05:14:00Z,8
2023-10-17T05:18:00Z,12
2023-10-17T05:24:00Z,17
2023-10-17T05:28:00Z,22
2023-10-17T05:34:00Z,27
2023-10-17T05:38:00Z,30
2023-10-17T05:44:00Z,36
2023-10-17T05:48:00Z,45
2023-10-17T05:54:00Z,55
2023-10-17T05:58:00Z,60
2023-10-17T06:04:00Z,60
2023-10-17T06:08:00Z,67
2023-10-17T06:14:00Z,75
2023-10-17T06:18:00Z,79
2023-10-17T06:24:00Z,119
2023-10-17T06:28:00Z,152
2023-10-17T06:34:00Z,134
2023-10-17T06:38:00Z,120
2023-10-17T06:44:00Z,136
2023-10-17T06:48:00Z,185
2023-10-17T06:54:00Z,309
2023-10-17T06:58:00Z,432
2023-10-17T07:04:00Z,415
2023-10-17T07:08:00Z,372.5
2023-10-17T07:14:00Z,459
2023-10-17T07:16:00Z,459
2023-10-17T07:20:00Z,519
2023-10-17T07:24:00Z,497
2023-10-17T07:28:00Z,536.5
2023-10-17T07:34:00Z,466
2023-10-17T07:38:00Z,452
2023-10-17T07:44:00Z,622
2023-10-17T07:48:00Z,730
2023-10-17T07:54:00Z,637
2023-10-17T07:58:00Z,540
2023-10-17T08:04:00Z,759
2023-10-17T08:08:00Z,798
2023-10-17T08:14:00Z,477
2023-10-17T08:18:00Z,397
2023-10-17T08:24:00Z,564
2023-10-17T08:28:00Z,593
2023-10-17T08:34:00Z,488
2023-10-17T08:38:00Z,742
2023-10-17T08:44:00Z,965
2023-10-17T08:48:00Z,939
2023-10-17T08:54:00Z,750
2023-10-17T08:58:00Z,623
2023-10-17T09:04:00Z,802
2023-10-17T09:08:00Z,643
2023-10-17T09:14:00Z,734
2023-10-17T09:18:00Z,969
2023-10-17T09:24:00Z,788
2023-10-17T09:28:00Z,771
2023-10-17T09:34:00Z,697
2023-10-17T09:38:00Z,511
2023-10-17T09:44:00Z,970
2023-10-17T09:48:00Z,1354
2023-10-17T09:54:00Z,1273
2023-10-17T09:58:00Z,1296
2023-10-17T10:02:00Z,1243
2023-10-17T10:08:00Z,1098
2023-10-17T10:12:00Z,1394
2023-10-17T10:18:00Z,1599
2023-10-17T10:22:00Z,1290
2023-10-17T10:28:00Z,1171
2023-10-17T10:32:00Z,1062
2023-10-17T10:38:00Z,1122
2023-10-17T10:42:00Z,1172
2023-10-17T10:48:00Z,1378
2023-10-17T10:52:00Z,1582
2023-10-17T10:56:00Z,1582
2023-10-17T10:58:00Z,1447
2023-10-17T11:02:00Z,1449
2023-10-17T11:08:00Z,1605
2023-10-17T11:12:00Z,1686
2023-10-17T11:18:00Z,1626
2023-10-17T11:22:00Z,1649
2023-10-17T11:28:00Z,1525
2023-10-17T11:32:00Z,1563
2023-10-17T11:38:00Z,1745
2023-10-17T11:42:00Z,1769
2023-10-17T11:48:00Z,1766
2023-10-17T11:52:00Z,1752
2023-10-17T11:58:00Z,1739
2023-10-17T12:02:00Z,1744
2023-10-17T12:08:00Z,1748
2023-10-17T12:12:00Z,1733
2023-10-17T12:18:00Z,1718
2023-10-17T12:22:00Z,1714
2023-10-17T12:28:00Z,1706
2023-10-17T12:32:00Z,1679
2023-10-17T12:38:00Z,1657
2023-10-17T12:42:00Z,1651
2023-10-17T12:48:00Z,1644
2023-10-17T12:52:00Z,1629
2023-10-17T12:58:00Z,1608
2023-10-17T13:02:00Z,1555
2023-10-17T13:08:00Z,1511
2023-10-17T13:12:00Z,1535
2023-10-17T13:18:00Z,1516
2023-10-17T13:22:00Z,1431
2023-10-17T13:28:00Z,1352
2023-10-17T13:32:00Z,1371
2023-10-17T13:38:00Z,1419
2023-10-17T13:42:00Z,1400
2023-10-17T13:48:00Z,1406
2023-10-17T13:52:00Z,1331
2023-10-17T13:56:00Z,1331
2023-10-17T13:58:00Z,1276
2023-10-17T14:02:00Z,1224
2023-10-17T14:06:00Z,1151
2023-10-17T14:12:00Z,1157
2023-10-17T14:18:00Z,1169
